epoch,train_loss,train_mu_loss,train_sigma_loss,val_loss,val_mu_loss,val_sigma_loss,val_rmse,val_mae,val_r2,val_mean_nll
1.0,0.45157101700683716,0.5760432872924376,0.32709873926603966,0.39847913756462944,0.4723304167638334,0.3246278881677479,6.322017669677734,3.7399959564208984,0.297116219997406,3.614167276633218
2.0,0.2541578818230752,0.29318280723698203,0.21513295554966347,0.369638761215889,0.4439039457859677,0.2953735995582763,6.008090496063232,3.4450385570526123,0.3381980359554291,5.70878335753982
3.0,0.2309560428605861,0.2721868612194091,0.18972522436158998,0.35893470321543963,0.42822936928019756,0.2896399821392745,5.934397220611572,3.3333778381347656,0.3618949353694916,5.335890904459263
4.0,0.22139074131011263,0.2608030918587539,0.18197838302592806,0.3414765951089786,0.4043628758893135,0.27859028911955885,5.692953586578369,3.1470649242401123,0.39675453305244446,5.098442841191763
5.0,0.21855745478622654,0.25746227640780117,0.17965263144564228,0.34942737002800367,0.4163807029388895,0.28247401190803306,5.772770881652832,3.202450752258301,0.37878623604774475,5.513076582952513
6.0,0.21390396327037164,0.2508672193269397,0.17694070907298634,0.35206587622701824,0.41727570511833834,0.28685607484140174,5.803374767303467,3.2428338527679443,0.37768688797950745,5.447732529182791
7.0,0.21180475990412867,0.2483297904650876,0.17527972776433323,0.3516131563060936,0.4171649576469067,0.2860613297561957,5.790015697479248,3.243760347366333,0.3777296841144562,5.577283311493704
8.0,0.21060526025857293,0.2466718555193434,0.17453866478292626,0.34419001662392723,0.4028186766131067,0.2855613543381289,5.721429824829102,3.2403724193573,0.3994324505329132,5.461762545488175
9.0,0.20706330413856097,0.24111197300795426,0.1730146296916193,0.34743018145494603,0.4073671619061577,0.28749316890479315,5.762587070465088,3.225660562515259,0.3927367925643921,5.526691545084141
10.0,0.20454425466253356,0.23827501585710112,0.1708134979803663,0.3522369065844513,0.41688864347417914,0.287585197200427,5.788445472717285,3.265713930130005,0.37814515829086304,5.753688642274205
11.0,0.20460613356125842,0.23785060088661217,0.17136166236813302,0.3482635314666564,0.4101412667380415,0.28638571597477935,5.740932941436768,3.259291648864746,0.3882058560848236,5.534630773064306
12.0,0.20256809070131407,0.23508370569448891,0.17005247213917973,0.34982800395062186,0.4117253010957399,0.28793068159641905,5.730097770690918,3.2090370655059814,0.3856324553489685,5.505640029940834
