epoch,train_loss,train_mu_loss,train_sigma_loss,val_loss,val_mu_loss,val_sigma_loss,val_rmse,val_mae,val_r2,val_mean_nll
1.0,0.43117308319420744,0.5463322572502856,0.3160139032710017,0.36963462469651925,0.44115334306014664,0.29811590633289187,5.8666558265686035,3.3623056411743164,0.3410860002040863,5.075265966314533
2.0,0.24668674007379618,0.28973632438017777,0.2036371476021188,0.3505031456679791,0.41317947821984585,0.28782681081949346,5.763655185699463,3.2358813285827637,0.38368746638298035,5.82187777911611
3.0,0.2290113046652014,0.2710842194053171,0.18693839651154498,0.3451746676676227,0.41012224569789135,0.2802270346259469,5.722346782684326,3.1702778339385986,0.38805752992630005,5.146714679147059
4.0,0.22285884142254384,0.2634896604591965,0.1822280196579706,0.3433974737275447,0.40090418493172886,0.2858907648199794,5.663759231567383,3.0855066776275635,0.40186840295791626,4.959521669700025
5.0,0.21867721705465445,0.25742224620468734,0.17993218905370564,0.3452940474173248,0.4095892752006603,0.28099884713969286,5.690253734588623,3.1479876041412354,0.38858288526535034,5.518321521384714
6.0,0.21592120008623608,0.2546266917929759,0.17721571109818385,0.34894335499589857,0.41217584255956863,0.28571086743222857,5.773619174957275,3.1943275928497314,0.38534829020500183,6.016426200514715
7.0,0.2116272838041627,0.24813169191513224,0.17512287555302,0.3458311756810072,0.40882382276306395,0.28283853319218805,5.759284496307373,3.1939570903778076,0.3904353678226471,5.078028897493149
8.0,0.21072398570062933,0.2469760004529844,0.1744719702289426,0.3375864064118625,0.39218394135289925,0.2829888462617409,5.588500499725342,3.0706419944763184,0.41475456953048706,5.474644374139778
9.0,0.20763275275138146,0.2427884948209649,0.17247700216145284,0.3549232156145621,0.41807564605512615,0.29177081038308283,5.7994303703308105,3.2216014862060547,0.37640103697776794,5.2049708244983295
10.0,0.20884326403694195,0.24420969533735964,0.17347683288131385,0.3456661889901189,0.40720481956365034,0.2841275584165875,5.667913436889648,3.2157812118530273,0.39208823442459106,5.422224068409214
11.0,0.2050201190358678,0.23885627700558235,0.17118395948731677,0.356227735172472,0.41975541459165644,0.2927000603465252,5.825340747833252,3.2961225509643555,0.3740343749523163,5.351212369779851
12.0,0.2021484533454414,0.23397610906089977,0.1703207967704782,0.35452818490460736,0.4181302224880621,0.29092615191439025,5.78666353225708,3.2752742767333984,0.37619274854660034,5.77111142446072
13.0,0.20013265920002307,0.23087984472739825,0.1693854667781434,0.3613619649259826,0.4254648419262429,0.29725908562910347,5.846505641937256,3.3328652381896973,0.3653412461280823,5.686196698687711
14.0,0.2004186844844882,0.2312702078921811,0.16956716050686974,0.35965180426580834,0.4270131842893435,0.2922903944399508,5.8089118003845215,3.287342071533203,0.36256280541419983,5.495333784127445
15.0,0.19912869732144758,0.2302125078467915,0.16804488822553404,0.35162597689181635,0.41381830409498244,0.2894336473920314,5.760497570037842,3.3036723136901855,0.3826617896556854,5.633523113840815
16.0,0.19654162388005567,0.22542138762899247,0.1676618618501285,0.34969888665806126,0.41205632474412784,0.2873414485719946,5.703627109527588,3.2618837356567383,0.3848651051521301,5.485870941835965
