epoch,train_loss,train_mu_loss,train_sigma_loss,val_loss,val_mu_loss,val_sigma_loss,val_rmse,val_mae,val_r2,val_mean_nll
1.0,0.4253666163378888,0.5463322572502856,0.3044009742764079,0.36860677503207184,0.44115334306014664,0.2960602620154042,5.8666558265686035,3.3623056411743164,0.3410860002040863,5.403820803715527
2.0,0.24567388845018512,0.28973632438017777,0.20161144779291595,0.35006669430971254,0.41317947821984585,0.2869539379052828,5.763655185699463,3.2358813285827637,0.38368746638298035,5.851866755649111
3.0,0.22917538820784011,0.2710842194053171,0.18726656216739204,0.3446958863208723,0.41012224569789135,0.27926952694385315,5.722346782684326,3.1702778339385986,0.38805752992630005,5.068141645874257
4.0,0.22309911333829027,0.2634896604591965,0.18270856377904277,0.3425439105424971,0.40090418493172886,0.284183629263409,5.663759231567383,3.0855066776275635,0.40186840295791626,4.757966944035429
5.0,0.218861712245332,0.25742224620468734,0.1803011780056303,0.34390766245118665,0.4095892752006603,0.2782260198993906,5.690253734588623,3.1479876041412354,0.38858288526535034,5.207731378988853
6.0,0.2162621634549264,0.2546266917929759,0.17789763798497063,0.348305187914596,0.41217584255956863,0.28443452867638586,5.773619174957275,3.1943275928497314,0.38534829020500183,5.618113451852937
7.0,0.21212735025605933,0.24813169191513224,0.17612301891104426,0.3469160172304306,0.40882382276306395,0.28500821169779716,5.759284496307373,3.1939570903778076,0.3904353678226471,5.03938944938194
8.0,0.21098987239351114,0.2469760004529844,0.17500373902760283,0.3367929552497494,0.39218394135289925,0.2814019118385736,5.588500499725342,3.0706419944763184,0.41475456953048706,5.193691128706962
9.0,0.20797310444305886,0.2427884948209649,0.1731577138502766,0.3553601861832753,0.41807564605512615,0.2926447492238905,5.7994303703308105,3.2216014862060547,0.37640103697776794,5.164896591798729
10.0,0.20920718231919933,0.24420969533735964,0.17420467503260997,0.34582625610863854,0.40720481956365034,0.28444760783989725,5.667913436889648,3.2157812118530273,0.39208823442459106,5.410241093960995
11.0,0.20546191922377272,0.23885627700558235,0.17206756344131904,0.3550720379501917,0.41975541459165644,0.2903886406928798,5.825340747833252,3.2961225509643555,0.3740343749523163,5.236971679968398
12.0,0.20278322308397773,0.23397610906089977,0.17159033495829365,0.3547833835476957,0.4181302224880621,0.2914365973221176,5.78666353225708,3.2752742767333984,0.37619274854660034,5.542442459090881
13.0,0.20084758206386938,0.23087984472739825,0.170815317830737,0.3604995570187098,0.4254648419262429,0.2955342698145579,5.846505641937256,3.3328652381896973,0.3653412461280823,5.528086254833595
14.0,0.2011266678121804,0.2312702078921811,0.170983123864408,0.35844689591503615,0.4270131842893435,0.28988063045319484,5.8089118003845215,3.287342071533203,0.36256280541419983,5.180070895425866
15.0,0.19964914185453023,0.2302125078467915,0.16908577070524006,0.35047761391497456,0.41381830409498244,0.2871369489440514,5.760497570037842,3.3036723136901855,0.3826617896556854,5.37141848689003
16.0,0.19746735681028613,0.22542138762899247,0.1695133300087576,0.3494092171634839,0.41205632474412784,0.286762052274814,5.703627109527588,3.2618837356567383,0.3848651051521301,5.521620371106709
